Nombre,URL,Nombre_limpio,Latitud,Longitud
BASÍLICA DE FORNÀS DE TORELLÓ,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/bas-lica-de-torell-20130302140747/,BASÍLICA DE FORNÀS DE TORELLÓ,39.8837265,4.2219643
MONASTERIO DE SAN CUGAT DEL VALLÉS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-cugat-del-valls-r-20141008121110/,MONASTERIO DE SAN CUGAT DEL VALLÉS,41.4737723,2.0852901
CRIPTA DE SAN VICENTE,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/cripta-de-san-vicente/,CRIPTA DE SAN VICENTE,39.4758327,-0.3741716
IGLESIA MARTIRIAL DE MARIALBA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/iglesia-martirial-de-marialba-20130201173157/,IGLESIA MARTIRIAL DE MARIALBA,42.5354201,-5.5436137
BASILICA DE LA ISLA DEL REY,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/bas-lica-de-illetas-del-rey-20130302141608/,BASILICA DE LA ISLA DEL REY,39.8866449,4.288304999999999
NECRÓPOLIS DE CASTILTIERRA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/necrpolis-de-castiltierra-20160528200628/,NECRÓPOLIS DE CASTILTIERRA,41.3853635,-3.5323281
NECRÓPOLIS DE EL CARPIO DE TAJO,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/necrpolis-de-el-carpio-de-tajo-20160523134718/,NECRÓPOLIS DE EL CARPIO DE TAJO,39.8881323,-4.456805
NECRÓPOLIS DE CACERA DE LAS RANAS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/necrpolis-de-cacera-de-las-ranas-20160529000252/,NECRÓPOLIS DE CACERA DE LAS RANAS,,
NECRÓPOLIS DE HERRERA DE PISUERGA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/necrpolis-de-herrera-de-pisuerga-20160529214350/,NECRÓPOLIS DE HERRERA DE PISUERGA,42.5953655,-4.3321114
NECRÓPOLIS DE DURATÓN,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/necrpolis-de-duratn-20160531193554/,NECRÓPOLIS DE DURATÓN,41.2881664,-3.6824085
SAN MARTIN DE AMPURIAS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-marti-de-ampurias/,SAN MARTIN DE AMPURIAS,42.139886,3.1179122
BASÍLICA DE CASA HERRERA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/bas-lica-de-casa-herrera-20130302203310/,BASÍLICA DE CASA HERRERA,38.9610551,-6.2945474
BASÍLICA DE CABEZA DE GRIEGO,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/baslica-de-cabeza-de-griego-20130211115501/,BASÍLICA DE CABEZA DE GRIEGO,39.8918582,-2.8084337
